Street_bounding,Name_bounding,Address_bounding,Rating_bounding,Place ID,Latitude_bounding,Longitude_bounding
plummer st,Graph-X Printing,"323 Stanton Avenue, Millvale",5.0,ChIJeyYM2KjzNIgRY5r79Vm8oXA,40.4778898,-79.97241799999999
penn ave,Clear Appraisals,"3923 Howley Street, Pittsburgh",5.0,ChIJezGL1EvyNIgR1IBd0nApFCA,40.46355190000001,-79.95870339999999
butler st,The Abbey Coffeehouse,"4633 Butler Street, Pittsburgh",,ChIJf-522EnzNIgR1CF7yM_KT4A,40.4737357,-79.9585122
liberty ave,Stylush Pittsburgh,"4600 Penn Avenue, Pittsburgh",4.7,ChIJf1AZPYrzNIgR-kw2lBQ3Mcc,40.4657146,-79.949449
liberty ave,Independent Enterprises LLC,"4420 Lorigan Street, Pittsburgh",,ChIJf3QuFwDzNIgRptcoYOdNv7U,40.4605937,-79.9549838
penn ave,Kelly's Korner,"285 45th Street, Pittsburgh",4.6,ChIJf3_qIU7yNIgRV2wqYv_dOiI,40.4706761,-79.9569121
53rd St,RPI Rentals,"409 North Avenue, Pittsburgh",2.5,ChIJf5BVigfzNIgRAqe_XboMv_I,40.482513,-79.973754
penn ave,KMA & Associates Inc,"3501 Butler Street, Pittsburgh",5.0,ChIJf5WP_bTzNIgR0AOSM7VyS_c,40.464214,-79.966593
penn ave,Krishna Ministry,"3513 Butler Street # 2, Pittsburgh",,ChIJf6q3-7TzNIgRZg-JTn4f3Og,40.4644379,-79.96627389999999
penn ave,Asian Influences,"3513 Butler Street, Pittsburgh",5.0,ChIJf6q3-7TzNIgR_56c0JGITI4,40.4644302,-79.9662797
44th St,Fine Wine & Good Spirits #223,"129 Lincoln Avenue, Millvale",4.3,ChIJfTVaNkHzNIgRAv-5EhN9_2g,40.478655,-79.9698852
48th St,99Stains,"421 Grant Avenue, Millvale",,ChIJfUkAXqjzNIgR-oOzOfZnltQ,40.4801531,-79.9738129
penn ave,CoinFlip Bitcoin ATM,"4201 Penn Avenue, Pittsburgh",,ChIJf_1nldXzNIgRc8DvMv_NOSE,40.46605719999999,-79.9544469
penn ave,Graham's Barber Shop,"3816 Butler Street, Pittsburgh",4.8,ChIJf_DQs0zyNIgRXW_C3Llhy7k,40.4672452,-79.9638114
penn ave,Pittsburgh Event Lighting,"1812 300 39th Street b, 300 39th Street, Pittsburgh",4.4,ChIJfbGgn0vyNIgRsIvc_M9JE8A,40.4650852,-79.9609206
penn ave,Fine Wine & Good Spirits,"4065 Butler Street, Pittsburgh",4.5,ChIJfc_cpk3yNIgRYXB_NI3e_M8,40.4695123,-79.9614182
liberty ave,Fazio's Pizza,"4028 Penn Avenue, Pittsburgh",4.6,ChIJfdbjNknyNIgRfLIY5-dxlQQ,40.46527080000001,-79.95683509999999
penn ave,Maniküre,"3516 Butler Street, Pittsburgh",4.7,ChIJffdF_LTzNIgREv9NA2KdlWM,40.464374,-79.965853
45th St,B-Sides Vintage,"214 Grant Avenue, Millvale",4.6,ChIJffiQ7ZHzNIgRb8jGQfQ12Dw,40.4791409,-79.9714044
liberty ave,Nothingman,"4744 Liberty Avenue, Pittsburgh",5.0,ChIJfwhECADzNIgRkBrkrjlNOXg,40.46118389999999,-79.9485251
