Address,Business Name,Street,Rating,Latitude,Longitude,Flag
115 41st st,Fort Willow Developers,butler st,3.0,40.4714289,-79.96377269999999,consolidated
115 41st st,Lawrenceville Farmers Market,butler st,4.8,40.4714793,-79.9638593,consolidated
115 42nd st,115 42nd St,"115 42nd St, Pittsburgh, PA 15201, USA",,40.472051,-79.9630232,broad_filled
115 44th st,115 44th St,"115 44th St, Pittsburgh, PA 15201, USA",,40.4733692,-79.9621655,broad_filled
115 45th st,115 45th St,"115 45th St, Pittsburgh, PA 15201, USA",,40.4740814,-79.9616746,broad_filled
115 53rd st,115 53rd St,"115 53rd St, Pittsburgh, PA 15201, USA",,40.4813917,-79.9512251,broad_filled
115 banner way,115 Banner Way,"115 Banner Way, Pittsburgh, PA 15201, USA",,40.4715776,-79.9635204,broad_filled
115 honeycrisp ln,115 Honeycrisp Ln,"115 Honeycrisp Ln, Pittsburgh, PA 15201, USA",,40.4725386,-79.9561251,broad_filled
115 locarna way,115 Locarna Way,"115 Locarna Way, Pittsburgh, PA 15201, USA",,40.4734956,-79.9620344,broad_filled
115 mccandless ave,115 McCandless Ave,"115 McCandless Ave, Pittsburgh, PA 15201, USA",,40.48086560000001,-79.9521595,broad_filled
116 34th st,Strip Self Storage,34th St,4.3,40.4632423,-79.9694943,broad_filled
116 41st st,116 41st St,"116 41st St, Pittsburgh, PA 15201, USA",,40.4712373,-79.96399319999999,broad_filled
116 43rd st,116 43rd St,"116 43rd St, Pittsburgh, PA 15201, USA",,40.4722655,-79.96289139999999,broad_filled
116 44th st,116 44th St,"116 44th St, Pittsburgh, PA 15201, USA",,40.4731723,-79.9623989,broad_filled
117 42nd st,117 42nd St,"117 42nd St, Pittsburgh, PA 15201, USA",,40.471996,-79.9629348,broad_filled
117 43rd st,117 43rd St,"117 43rd St, Pittsburgh, PA 15201, USA",,40.4724601,-79.96256149999999,broad_filled
117 44th st,117 44th St,"117 44th St, Pittsburgh, PA 15201, USA",,40.4733479,-79.9620833,broad_filled
117 47th st,117 47th St,"117 47th St, Pittsburgh, PA 15201, USA",,40.4758544,-79.96042539999999,broad_filled
117 53rd st,117 53rd St,"117 53rd St, Pittsburgh, PA 15201, USA",,40.4813507,-79.9511805,broad_filled
117 banner way,117 Banner Way,"117 Banner Way, Pittsburgh, PA 15201, USA",,40.4715434,-79.9634742,broad_filled
117 mccandless ave,117 McCandless Ave,"117 McCandless Ave, Pittsburgh, PA 15201, USA",,40.4808358,-79.95213079999999,broad_filled
118 41st st,118 41st St,"118 41st St, Pittsburgh, PA 15201, USA",,40.4712094,-79.9639515,broad_filled
118 42nd st,118 42nd St,"118 42nd St, Pittsburgh, PA 15201, USA",,40.4718208,-79.9631489,broad_filled
118 43rd half st,,,,,,
118 43rd st,118 43rd St,"118 43rd St, Pittsburgh, PA 15201, USA",,40.472236,-79.9628412,broad_filled
118 44th st,118 44th St,"118 44th St, Pittsburgh, PA 15201, USA",,40.4731244,-79.9622995,broad_filled
118 45th st,118 45th St,"118 45th St, Pittsburgh, PA 15201, USA",,40.473914,-79.9620118,broad_filled
118 52nd st,118 52nd St,"118 52nd St, Pittsburgh, PA 15201, USA",,40.4805637,-79.9559599,broad_filled
119 40th st,119 40th St,"119 40th St, Pittsburgh, PA 15201, USA",,40.47079,-79.964643,broad_filled
119 41st st,Rainbow Row,butler st,4.3,40.471287,-79.9638069,consolidated
119 42nd st,119 42nd St,"119 42nd St, Pittsburgh, PA 15201, USA",,40.4719547,-79.96286409999999,broad_filled
119 43rd st,119 43rd St,"119 43rd St, Pittsburgh, PA 15201, USA",,40.4723905,-79.9625757,broad_filled
119 44th st,119 44th St,"119 44th St, Pittsburgh, PA 15201, USA",,40.4732933,-79.9620341,broad_filled
119 47th st,119 47th St,"119 47th St, Pittsburgh, PA 15201, USA",,40.4758287,-79.96036330000001,broad_filled
119 51st st,119 51st St,"119 51st St, Pittsburgh, PA 15201, USA",,40.480085,-79.9573302,broad_filled
119 53rd st,119 53rd St,"119 53rd St, Pittsburgh, PA 15201, USA",,40.4813234,-79.9511295,broad_filled
119 banner way,119 Banner Way,"119 Banner Way, Pittsburgh, PA 15201, USA",,40.4715109,-79.963433,broad_filled
119 honeycrisp ln,119 Honeycrisp Ln,"119 Honeycrisp Ln, Pittsburgh, PA 15201, USA",,40.4725014,-79.9560686,broad_filled
119 mccandless ave,119 McCandless Ave,"119 McCandless Ave, Pittsburgh, PA 15201, USA",,40.4808016,-79.9520857,broad_filled
12 mccandless ave,12 McCandless Ave,"12 McCandless Ave, Pittsburgh, PA 15201, USA",,40.4832633,-79.95592289999999,broad_filled
120 41st st,120 41st St,"120 41st St, Pittsburgh, PA 15201, USA",,40.4711801,-79.9639055,broad_filled
