Street,Name,Address,Rating,Place ID,Latitude,Longitude
liberty ave,Mitchell Joan,"4727 Friendship Avenue # 240, Pittsburgh",N/A,ChIJ7yG670XyNIgR1NJJT_zfXYM,40.4632342,-79.94816809999999
liberty ave,Pediatric Child Advocacy Center at UPMC Children's Hospital of Pittsburgh,"4401 Penn Avenue Floor 2, Pittsburgh",3,ChIJp9jek9DtNIgR3mNIi9tacrM,40.4659273,-79.9547027
liberty ave,Brillobox,"4104 Penn Avenue, Pittsburgh",4.5,ChIJxxYfM0_yNIgRM00-BqKCn3s,40.4656218,-79.95477149999999
liberty ave,"Todd Pungratz, MSW, LCSW, CAADC","4111 Penn Avenue, Pittsburgh",N/A,ChIJQ6eHW9_zNIgRc_J9S0Ld2Jw,40.4658925,-79.9548051
liberty ave,Better Stories Psychiatry,"4111 Penn Avenue, Pittsburgh",3.4,ChIJC_DTIJTzNIgRxNQFKqfdu0U,40.4659582,-79.9548239
liberty ave,Vitale Melissa A MD,"4401 Penn Avenue # 2400, Pittsburgh",N/A,ChIJ6XMqTE_yNIgRggMCI4Lzi6c,40.4660311,-79.95402519999999
liberty ave,Tram's Kitchen,"4050 Penn Avenue, Pittsburgh",4.6,ChIJzV7wK0nyNIgRgtFZ1GerHV0,40.46540299999999,-79.955962
liberty ave,Pittsburgh Eye Associates,"4202 Penn Avenue, Pittsburgh",4.6,ChIJbX3k-UXyNIgRGpiWcu5cNtY,40.4656042,-79.9542106
liberty ave,Garrison Jessica L MD,"4221 Penn Avenue, Pittsburgh",N/A,ChIJea3kNU_yNIgRsRYX7pVxQQ0,40.4660384,-79.9540023
liberty ave,Gypsy Tattoo Parlor,"4061 Penn Avenue, Pittsburgh",4.8,ChIJr4J61U7yNIgR6z33EovBKOo,40.46567340000001,-79.9556443
liberty ave,Caffé Mona La Bistro,"4200 Penn Avenue, Pittsburgh",4.5,ChIJFWbwNU_yNIgRFCEuSZi60Es,40.46567799999999,-79.9542656
liberty ave,Strcula Jason E DMD,"4106 Penn Avenue, Pittsburgh",5,ChIJGfy4zEjyNIgR5skYLlJDWUw,40.46552459999999,-79.9546725
liberty ave,drinks food music art & special events at brillobox,"4104 Penn Avenue, Pittsburgh",N/A,ChIJI-DfzEjyNIgRYK8ywhk-zlk,40.46550499999999,-79.9547632
liberty ave,Fazio's Pizza,"4028 Penn Avenue, Pittsburgh",4.6,ChIJfdbjNknyNIgRfLIY5-dxlQQ,40.46527080000001,-79.95683509999999
