OBJECTID *,FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
2791,388 BOWERY WAY,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00020000000,49-L-20,Central Lawrenceville,15201,-79.956541,40.465903
2792,284 39TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00030000000,49-K-30,Lower Lawrenceville,15201,-79.961348,40.465465
2793,348 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00078000000,49-L-78,Central Lawrenceville,15201,-79.956564,40.466436
2794,338 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00083000000,49-L-83,Central Lawrenceville,15201,-79.956897,40.466664
2795,362 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00071000000,49-L-71,Central Lawrenceville,15201,-79.956196,40.466179
2796,290 39TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00026000000,49-K-26,Lower Lawrenceville,15201,-79.961228,40.465323
2797,258 39TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00352000000,49-J-352,Lower Lawrenceville,15201,-79.962219,40.46609
2798,341 FISK ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00008000000,49-L-8,Central Lawrenceville,15201,-79.957484,40.466294
2799,329 FISK ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00002000A00,49-L-2-A,Central Lawrenceville,15201,-79.957786,40.466528
2800,262 38TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00251000000,49-J-251,Lower Lawrenceville,15201,-79.962495,40.465315
2801,226 39TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00331000000,49-J-331,Lower Lawrenceville,15201,-79.963132,40.466812
2802,337 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00110000000,49-L-110,Central Lawrenceville,15201,-79.95669,40.46692
2803,4022 ARSENAL PL,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00204000000,49-K-204,Central Lawrenceville,15201,-79.958441,40.466619
2804,304 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00255000000,49-K-255,Central Lawrenceville,15201,-79.957799,40.467297
2805,334 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00084000000,49-L-84,Central Lawrenceville,15201,-79.957001,40.466732
2806,316 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00093000000,49-L-93,Central Lawrenceville,15201,-79.957491,40.467053
2807,343 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00114000000,49-L-114,Central Lawrenceville,15201,-79.956487,40.466806
2808,4204 GENEVA ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00135000000,49-L-135,Central Lawrenceville,15201,-79.955632,40.467074
2809,302 39TH ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049K00017000000,49-K-17,Lower Lawrenceville,15201,-79.960831,40.46503
2810,297 40TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00159000000,49-K-159,Central Lawrenceville,15201,-79.959304,40.4666
2811,282 39TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00031000000,49-K-31,Lower Lawrenceville,15201,-79.961387,40.465495
2812,260 39TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049J00354000000,49-J-354,Lower Lawrenceville,15201,-79.962142,40.466033
2813,3818 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049J00319000000,49-J-319,Lower Lawrenceville,15201,-79.963797,40.467264
2814,289 40TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00151000000,49-K-151,Central Lawrenceville,15201,-79.959577,40.466867
2815,297 FISK ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00224000000,49-K-224,Central Lawrenceville,15201,-79.95848,40.46712
2816,420 42ND ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00118000000,49-L-118,Central Lawrenceville,15201,-79.956203,40.46711
2817,320 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00090000000,49-L-90,Central Lawrenceville,15201,-79.957331,40.466961
2818,4010 ARSENAL PL,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00174000000,49-K-174,Central Lawrenceville,15201,-79.95873,40.466408
2819,4200 GENEVA ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00137000000,49-L-137,Central Lawrenceville,15201,-79.95572,40.46701
2820,269 40TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00146000000,49-K-146,Central Lawrenceville,15201,-79.959906,40.467126
2821,4207 POST ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00156000000,49-L-156,Central Lawrenceville,15201,-79.955448,40.466996
2822,4009 ARSENAL PL,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00167000000,49-K-167,Central Lawrenceville,15201,-79.959008,40.46656
2823,4018 ARSENAL PL,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00198000000,49-K-198,Central Lawrenceville,15201,-79.958535,40.46655
2824,4204 CALVIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00257000300,49-L-257-3,Central Lawrenceville,15201,-79.954763,40.466338
2825,4035 PENN AVE,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049L00266000000,49-L-266,Central Lawrenceville,15224,-79.956573,40.46555
2826,290 FISK ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00213000000,49-K-213,Central Lawrenceville,15201,-79.959109,40.467124
2827,4051 GENEVA ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00052000001,49-L-52-0-1,Central Lawrenceville,15201,-79.956852,40.466476
2828,291 40TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049K00153000000,49-K-153,Central Lawrenceville,15201,-79.959536,40.466788
2829,346 MAIN ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00080000000,49-L-80,Central Lawrenceville,15201,-79.956754,40.466549
2830,4220 POST ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00185000000,49-L-185,Central Lawrenceville,15201,-79.954955,40.467055
2831,3469 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00215000000,49-N-215,Lower Lawrenceville,15201,-79.964425,40.463229
2832,3428 PENN AVE,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00125000G00,49-N-125-G,Lower Lawrenceville,15201,-79.966112,40.463177
2833,3448 LIGONIER ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00400000000,49-N-400,Lower Lawrenceville,15201,-79.965142,40.462954
2834,3435 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00200000000,49-N-200,Lower Lawrenceville,15201,-79.965257,40.462538
2835,3473 DENNY ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00217000A00,49-N-217-A,Lower Lawrenceville,15201,-79.964288,40.463309
2836,3516 LEECH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00033000B00,49-N-33-B,Lower Lawrenceville,15201,-79.965031,40.464667
2837,263 37TH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00059000000,49-N-59,Lower Lawrenceville,15201,-79.962666,40.464678
2838,3501 LEECH ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049N00017000000,49-N-17,Lower Lawrenceville,15201,-79.965491,40.464433
2839,3508 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049N00011000000,49-N-11,Lower Lawrenceville,15201,-79.965952,40.464167
2840,3532 BUTLER ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0049N00027000000,49-N-27,Lower Lawrenceville,15201,-79.965473,40.464828
2841,3518 LEECH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00033000C00,49-N-33-C,Lower Lawrenceville,15201,-79.965001,40.464703
2842,3707 PENN AVE,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00068000000,49-N-68,Lower Lawrenceville,15201,-79.962418,40.46466
2843,382 BOWERY WAY,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00022000000,49-L-22,Central Lawrenceville,15201,-79.956682,40.466009
2844,4221 POST ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049L00162000000,49-L-162,Central Lawrenceville,15201,-79.955077,40.467261
2845,923 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0081E00039000000,81-E-39,Upper Lawrenceville,15201,-79.948952,40.478574
2846,3464 PENN AVE,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00136000000,49-N-136,Lower Lawrenceville,15201,-79.965237,40.463795
2847,3469 LIGONIER ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00150000000,49-N-150,Lower Lawrenceville,15201,-79.964604,40.463568
2848,3432 PENN AVE,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00126000E00,49-N-126-E,Lower Lawrenceville,15201,-79.965952,40.463281
2849,3603 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00298000000,49-N-298,Lower Lawrenceville,15201,-79.963704,40.463481
2850,3605 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00297000000,49-N-297,Lower Lawrenceville,15201,-79.963647,40.463487
2851,3458 PENN AVE,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00134000000,49-N-134,Lower Lawrenceville,15201,-79.965354,40.463711
2852,3610 MINTWOOD ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00307000000,49-N-307,Lower Lawrenceville,15201,-79.963674,40.463224
2853,917 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0081E00042000000,81-E-42,Upper Lawrenceville,15201,-79.94907,40.478661
2854,913 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0081E00044000000,81-E-44,Upper Lawrenceville,15201,-79.949152,40.478718
2855,3508 LEECH ST,R1A-H,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,0049N00035000000,49-N-35,Lower Lawrenceville,15201,-79.965121,40.464534
